ANO_EJE,GRUPO_ENTIDAD_NOMBRE,SEC_EJEC,EJECUTORA_NOMBRE,DEPARTAMENTO_EJECUTORA_NOMBRE,PROVINCIA_EJECUTORA_NOMBRE,DISTRITO_EJECUTORA_NOMBRE,SEC_FUNC,PROGRAMA_PPTO_NOMBRE,TIPO_ACT_PROY_NOMBRE,PRODUCTO_PROYECTO_NOMBRE,ACTIVIDAD_ACCION_OBRA_NOMBRE,FUNCION_NOMBRE,DIVISION_FUNCIONAL_NOMBRE,GRUPO_FUNCIONAL_NOMBRE,FINALIDAD,META_NOMBRE,FUENTE_FINANCIAMIENTO_NOMBRE,RUBRO_NOMBRE,CATEGORIA_GASTO_NOMBRE,TIPO_TRANSACCION,GENERICA_NOMBRE,SUBGENERICA_NOMBRE,SUBGENERICA_DET_NOMBRE,ESPECIFICA_NOMBRE,ESPECIFICA_DET_NOMBRE,MONTO_PIA,MONTO_PIM,EJEC_ANUAL,PCT_EJECUCION
2024,EMPRESAS MUNICIPALES DE AGUA POTABLE Y ALCANTARILLADO,500160,EMPRESA PRESTADORA MUNICIPAL DE SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE AMAZONAS SOCIEDAD ANÓNIMA,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,1,ACCIONES CENTRALES,ACTIVIDAD,SIN PRODUCTO,GESTION ADMINISTRATIVA,SANEAMIENTO,GESTION,ASESORAMIENTO Y APOYO,89,ADMINISTRACION Y SUPERVISION,RECURSOS DIRECTAMENTE RECAUDADOS,RECURSOS DIRECTAMENTE RECAUDADOS,GASTO CORRIENTE,2,BIENES Y SERVICIOS,COMPRA DE BIENES,MATERIALES Y  UTILES,DE OFICINA,"PAPELERIA EN GENERAL, UTILES Y MATERIALES DE OFICINA",38178,38178,1771500.15,4640.11
2024,EMPRESAS MUNICIPALES DE AGUA POTABLE Y ALCANTARILLADO,500160,EMPRESA PRESTADORA MUNICIPAL DE SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE AMAZONAS SOCIEDAD ANÓNIMA,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2,ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS,ACTIVIDAD,SIN PRODUCTO,COMERCIALIZACION Y SERVICIOS COLATERALES,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO URBANO,23550,COMERCIALIZACION DE SERVICIOS DE SANEAMIENTO,RECURSOS DIRECTAMENTE RECAUDADOS,RECURSOS DIRECTAMENTE RECAUDADOS,GASTO CORRIENTE,2,PERSONAL Y OBLIGACIONES SOCIALES,OTRAS RETRIBUCIONES,RETRIBUCIONES EN BIENES O SERVICIOS,BIENES,OTRAS RETRIBUCIONES EN ESPECIE,5950,5950,968944.65,16284.78
2024,EMPRESAS MUNICIPALES DE AGUA POTABLE Y ALCANTARILLADO,500160,EMPRESA PRESTADORA MUNICIPAL DE SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE AMAZONAS SOCIEDAD ANÓNIMA,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,1,ACCIONES CENTRALES,ACTIVIDAD,SIN PRODUCTO,GESTION ADMINISTRATIVA,SANEAMIENTO,GESTION,ASESORAMIENTO Y APOYO,89,ADMINISTRACION Y SUPERVISION,RECURSOS DIRECTAMENTE RECAUDADOS,RECURSOS DIRECTAMENTE RECAUDADOS,GASTO CORRIENTE,2,BIENES Y SERVICIOS,COMPRA DE BIENES,COMPRA DE OTROS BIENES,COMPRA DE OTROS BIENES,OTROS BIENES,0,7000,1771500.15,25307.14
2024,EMPRESAS MUNICIPALES DE AGUA POTABLE Y ALCANTARILLADO,500160,EMPRESA PRESTADORA MUNICIPAL DE SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE AMAZONAS SOCIEDAD ANÓNIMA,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,3,ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS,ACTIVIDAD,SIN PRODUCTO,SERVICIO DE AGUA POTABLE,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO URBANO,2,ABASTECIMIENTO DE AGUA POTABLE,RECURSOS DIRECTAMENTE RECAUDADOS,RECURSOS DIRECTAMENTE RECAUDADOS,GASTO CORRIENTE,2,OTROS GASTOS,"PAGO DE IMPUESTOS,  DERECHOS ADMINISTRATIVOS Y MULTAS GUBERNAMENTALES",AL GOBIERNO LOCAL,DERECHOS ADMINISTRATIVOS,DERECHOS ADMINISTRATIVOS,18000,18000,2158842.76,11993.57
2024,EMPRESAS MUNICIPALES DE AGUA POTABLE Y ALCANTARILLADO,500160,EMPRESA PRESTADORA MUNICIPAL DE SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE AMAZONAS SOCIEDAD ANÓNIMA,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,11,ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS,ACTIVIDAD,SIN PRODUCTO,ABASTECIMIENTO DE AGUA POTABLE EN ZONAS RURALES Y URBANO MARGINALES,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO URBANO,2,ABASTECIMIENTO DE AGUA POTABLE,DONACIONES Y TRANSFERENCIAS,DONACIONES Y TRANSFERENCIAS,GASTO CORRIENTE,2,BIENES Y SERVICIOS,CONTRATACION DE SERVICIOS,"SERVICIOS BASICOS, COMUNICACIONES, PUBLICIDAD Y DIFUSION","SERVICIO DE PUBLICIDAD, IMPRESIONES, DIFUSION E IMAGEN INSTITUCIONAL",SERVICIOS DE IMAGEN INSTITUCIONAL,0,8000,0.0,0.0
2024,EMPRESAS MUNICIPALES DE AGUA POTABLE Y ALCANTARILLADO,500160,EMPRESA PRESTADORA MUNICIPAL DE SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE AMAZONAS SOCIEDAD ANÓNIMA,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,1,ACCIONES CENTRALES,ACTIVIDAD,SIN PRODUCTO,GESTION ADMINISTRATIVA,SANEAMIENTO,GESTION,ASESORAMIENTO Y APOYO,89,ADMINISTRACION Y SUPERVISION,RECURSOS DIRECTAMENTE RECAUDADOS,RECURSOS DIRECTAMENTE RECAUDADOS,GASTO CORRIENTE,2,PERSONAL Y OBLIGACIONES SOCIALES,RETRIBUCIONES Y COMPLEMENTOS EN EFECTIVO,PERSONAL ADMINISTRATIVO,PERSONAL ADMINISTRATIVO,PERSONAL CON CONTRATO A PLAZO FIJO (REGIMEN LABORAL PRIVADO),164023,164023,1771500.15,1080.03
2024,EMPRESAS MUNICIPALES DE AGUA POTABLE Y ALCANTARILLADO,500160,EMPRESA PRESTADORA MUNICIPAL DE SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE AMAZONAS SOCIEDAD ANÓNIMA,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,1,ACCIONES CENTRALES,ACTIVIDAD,SIN PRODUCTO,GESTION ADMINISTRATIVA,SANEAMIENTO,GESTION,ASESORAMIENTO Y APOYO,89,ADMINISTRACION Y SUPERVISION,RECURSOS DIRECTAMENTE RECAUDADOS,RECURSOS DIRECTAMENTE RECAUDADOS,GASTO CORRIENTE,2,PERSONAL Y OBLIGACIONES SOCIALES,OTRAS RETRIBUCIONES,RETRIBUCIONES EN BIENES O SERVICIOS,BIENES,OTRAS RETRIBUCIONES EN ESPECIE,11900,11900,1771500.15,14886.56
2024,EMPRESAS MUNICIPALES DE AGUA POTABLE Y ALCANTARILLADO,500160,EMPRESA PRESTADORA MUNICIPAL DE SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE AMAZONAS SOCIEDAD ANÓNIMA,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,3,ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS,ACTIVIDAD,SIN PRODUCTO,SERVICIO DE AGUA POTABLE,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO URBANO,2,ABASTECIMIENTO DE AGUA POTABLE,RECURSOS DIRECTAMENTE RECAUDADOS,RECURSOS DIRECTAMENTE RECAUDADOS,GASTO DE CAPITAL,2,ADQUISICION DE ACTIVOS NO FINANCIEROS,"ADQUISICION DE VEHICULOS, MAQUINARIAS Y OTROS",ADQUISICION DE VEHICULOS,ADQUISICION DE VEHICULOS,PARA TRANSPORTE TERRESTRE,0,12614,2158842.76,17114.66
2024,EMPRESAS MUNICIPALES DE AGUA POTABLE Y ALCANTARILLADO,500160,EMPRESA PRESTADORA MUNICIPAL DE SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE AMAZONAS SOCIEDAD ANÓNIMA,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,12,ASIGNACIONES PRESUPUESTARIAS QUE NO RESULTAN EN PRODUCTOS,PROYECTO,"CONSTRUCCION DE CAMARA DE VALVULAS; EN EL(LA) E INSTALACION DE VALVULAS DE AIRE EN LA RED DE DISTRIBUCION DE AGUA POTABLE EN LA CIUDAD DE CHACHAPOYAS DISTRITO DE CHACHAPOYAS, PROVINCIA CHACHAPOYAS, DEPARTAMENTO AMAZONAS",MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE,SANEAMIENTO,SANEAMIENTO,SANEAMIENTO URBANO,6692,MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE,RECURSOS DIRECTAMENTE RECAUDADOS,RECURSOS DIRECTAMENTE RECAUDADOS,GASTO DE CAPITAL,2,ADQUISICION DE ACTIVOS NO FINANCIEROS,CONSTRUCCION DE EDIFICIOS Y ESTRUCTURAS,OTRAS ESTRUCTURAS,AGUA Y SANEAMIENTO,COSTO DE CONSTRUCCION POR CONTRATA,0,304151,0.0,0.0
2024,EMPRESAS MUNICIPALES DE AGUA POTABLE Y ALCANTARILLADO,500160,EMPRESA PRESTADORA MUNICIPAL DE SERVICIO DE AGUA POTABLE Y ALCANTARILLADO DE AMAZONAS SOCIEDAD ANÓNIMA,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,1,ACCIONES CENTRALES,ACTIVIDAD,SIN PRODUCTO,GESTION ADMINISTRATIVA,SANEAMIENTO,GESTION,ASESORAMIENTO Y APOYO,89,ADMINISTRACION Y SUPERVISION,RECURSOS DIRECTAMENTE RECAUDADOS,RECURSOS DIRECTAMENTE RECAUDADOS,GASTO DE CAPITAL,2,ADQUISICION DE ACTIVOS NO FINANCIEROS,"ADQUISICION DE VEHICULOS, MAQUINARIAS Y OTROS","ADQUISICION DE MAQUINARIAS, EQUIPO Y MOBILIARIO",ADQUISICION DE EQUIPOS INFORMATICOS Y DE COMUNICACIONES,EQUIPOS COMPUTACIONALES Y PERIFERICOS,0,9500,1771500.15,18647.37
